organism,gene,<pLDDT>,std
Human,A0A0B4J1V7,90.70623931623932,12.503531995119785
Human,A0A0B4J1W7,50.51804878048785,12.831971545858337
Human,A0A0B4J1X5,91.1476068376068,14.568124532431478
Human,A0A0B4J1X8,90.95567796610173,14.05151951966578
Human,A0A0B4J1Y8,88.89943089430892,14.935752179654484
Human,A0A0B4J1Y9,91.5901680672269,14.101151570067088
Human,A0A0B4J1Z2,90.30393162393159,15.204916600094771
Human,A0A0B4J200,89.17812499999998,6.785098763789292
Human,A0A0B4J234,90.5347321428571,12.956790067637277
Human,A0A0B4J235,89.82256637168138,12.646689991852398
Human,A0A0B4J237,90.2638938053097,13.169974192704794
Human,A0A0B4J238,87.50622641509433,16.22049300444431
Human,A0A0B4J240,91.66754385964913,10.621945221246627
Human,A0A0B4J241,91.10339285714284,13.593150097013897
Human,A0A0B4J244,90.72385964912274,13.487619892563199
Human,A0A0B4J245,92.71821428571434,6.321988726190647
Human,A0A0B4J248,88.47361111111113,14.470447307986367
Human,A0A0B4J249,88.42654867256633,16.329538671410234
Human,A0A0B4J262,90.29132743362833,13.822075424276202
Human,A0A0B4J263,92.00200000000001,11.078401574890913
Human,A0A0B4J264,90.48163793103447,12.48636531857474
Human,A0A0B4J265,91.11807339449544,11.018345459058892
Human,A0A0B4J266,92.404375,9.160852149738854
Human,A0A0B4J268,89.5312844036697,13.358789506010774
Human,A0A0B4J271,93.0151754385965,8.430171715016241
Human,A0A0B4J272,87.9283333333333,15.51880952188692
Human,A0A0B4J273,90.37991071428571,10.657288962383555
Human,A0A0B4J274,92.07044642857144,10.062278248523121
Human,A0A0B4J275,89.17955357142854,14.188583840815276
Human,A0A0B4J276,91.71229357798167,10.65736887103292
Human,A0A0B4J277,92.88881818181821,8.827474850695948
Human,A0A0B4J279,92.93589285714283,8.516540582215317
Human,A0A0B4J280,85.39552380952384,15.026230080759087
Human,A0A0B4J2A2,96.66115853658535,3.0157580852125205
Human,A0A0B4J2B6,89.10521008403359,13.907541382602673
Human,A0A0B4J2B8,90.73692307692302,13.301887435095939
Human,A0A0B4J2D5,90.51708955223887,18.122804913897966
Human,A0A0B4J2D9,90.12427350427353,15.63224244820248
Human,A0A0B4J2E0,89.78182608695651,13.87329411887763
Human,A0A0B4J2E5,86.6295865070729,14.95789466031457
Human,A0A0B4J2F0,84.87685185185184,9.325868011248996
Human,A0A0B4J2F2,59.535581098339776,27.96941057853384
Human,A0A0B4J2H0,91.29829059829062,13.065669787365502
Human,A0A0C4DGP1,67.17823529411764,6.539181892789772
Human,A0A0C4DH24,90.9409649122807,14.523206714753826
Human,A0A0C4DH25,89.77017241379312,15.843711086887321
Human,A0A0C4DH26,93.02008695652177,9.946641600202218
Human,A0A0C4DH27,85.316779661017,13.539934962249975
Human,A0A0C4DH28,83.73932203389832,14.193042800863445
Human,A0A0C4DH29,91.64726495726494,13.598773299624638
Human,A0A0C4DH30,89.6988888888889,13.913953998035542
Human,A0A0C4DH31,91.37367521367523,12.966651413760102
Human,A0A0C4DH32,90.64367521367521,14.085118327074012
Human,A0A0C4DH33,90.55769230769234,14.04118644904263
Human,A0A0C4DH34,91.27965811965815,12.480587999216814
Human,A0A0C4DH35,90.90709401709404,14.379249475785837
Human,A0A0C4DH36,89.79396551724139,13.260860017834592
Human,A0A0C4DH38,92.59213675213675,10.736098929341843
Human,A0A0C4DH39,91.43333333333334,13.324989825367743
Human,A0A0C4DH41,91.50652542372883,12.722407189953511
Human,A0A0C4DH42,90.69508620689653,14.71367628501302
Human,A0A0C4DH43,91.72512605042016,13.223121071307798
Human,A0A0C4DH55,89.11386554621843,16.307595235609597
Human,A0A0C4DH59,90.95035087719297,12.189699198239138
Human,A0A0C4DH62,88.16823529411762,8.043392783772806
Human,A0A0C4DH63,79.7145,8.475358679725595
Human,A0A0C4DH67,91.00991304347829,14.318478999600613
Human,A0A0C4DH68,90.18491666666664,12.843489920048556
Human,A0A0C4DH69,90.68529914529917,14.614331835427242
Human,A0A0C4DH72,89.94102564102567,16.21888412828897
Human,A0A0C4DH73,90.88512820512817,14.379804250500381
Human,A0A0C4DH90,89.44431034482758,16.38106177478137
Human,A0A0C5B5G6,72.28750000000001,5.2870437155370675
Human,A0A0D9SF12,58.91772413793106,14.457736826031821
Human,A0A0G2JKD1,76.82865771812081,20.91271271814913
Human,A0A0G2JKW9,67.1975,12.229436794290878
Human,A0A0G2JLE6,34.02615384615383,4.147534711302555
Human,A0A0G2JLG4,87.05715328467159,12.392616470749926
Human,A0A0G2JLM5,78.37341708542712,22.387650521240847
Human,A0A0G2JLQ3,79.54605263157896,22.63856900925285
Human,A0A0G2JLW4,50.31061068702294,6.66690891164876
Human,A0A0G2JMD5,76.80700421940921,20.725579587870318
Human,A0A0G2JMH3,53.05762711864404,19.180234647915416
Human,A0A0G2JMH6,89.45295275590556,12.586861148225045
Human,A0A0G2JMI3,91.8611965811966,13.384763129703824
Human,A0A0G2JMM0,87.20646341463409,17.228004560920585
Human,A0A0G2JMP0,85.93779552715655,9.902131532065138
Human,A0A0G2JMS6,77.14157013258892,15.401795795442014
Human,A0A0G2JN01,87.065274390244,17.025170853992535
Human,A0A0G2JN53,63.5428648648649,23.23671688927998
Human,A0A0G2JN68,72.45898666666677,24.1812771989644
Human,A0A0G2JND7,45.32978102189782,10.169068275269131
Human,A0A0G2JNF4,75.87653295128943,23.845649696947756
Human,A0A0G2JNG1,79.69180921052633,22.375000316446204
Human,A0A0G2JNH3,85.32142405063287,9.85903949078918
Human,A0A0G2JNJ9,39.152575757575754,7.1520635527407475
Human,A0A0G2JNQ3,70.54187713310577,18.661581373058006
Human,A0A0G2JP20,84.19866108786613,15.779575455461236
Human,A0A0G2JPB7,88.03854945054954,13.088921080011271
Human,A0A0G2JPC4,72.1838666666666,23.889488293296605
Human,A0A0G2JPF8,70.91040955631398,18.765552689711868
Human,A0A0G2JPN4,64.17416666666668,7.888158979339434
Human,A0A0G2JQ47,81.47373737373739,21.32158001292413
Human,A0A0G2JQF1,86.87199999999999,9.723315483928308
Human,A0A0G2JQZ4,50.47787234042555,14.403567810991508
Human,A0A0G2JRQ6,90.6457264957265,14.920670358914288
Human,A0A0G2JS06,90.26260162601622,13.64361906530015
Human,A0A0J9YVY3,91.7923076923077,12.89409965005961
Human,A0A0J9YW62,74.18618644067797,15.22908228755666
Human,A0A0J9YWL9,50.117754279959726,20.444380094150148
Human,A0A0J9YWP8,77.13499999999999,4.157738267375665
Human,A0A0J9YWU9,91.43318965517241,12.737862620410253
Human,A0A0J9YWX3,86.67176470588235,4.459156126040149
Human,A0A0J9YX35,91.44692307692311,12.756684352164141
Human,A0A0J9YX57,67.45280098280095,21.929723347782325
Human,A0A0J9YX75,91.98342105263157,11.659395791644757
Human,A0A0J9YX94,59.83669550173007,19.3863732413774
Human,A0A0J9YXG5,89.80125,8.366145225699828
Human,A0A0J9YXM7,81.71875,6.860020840893998
Human,A0A0J9YXQ4,52.55846986089644,23.535052859822194
Human,A0A0J9YXV3,41.52746268656718,6.529006054107918
Human,A0A0J9YXX1,92.97196581196583,9.940866979621218
Human,A0A0J9YXY3,90.89763157894737,14.362371236967679
Human,A0A0J9YY54,49.093669467787166,20.95334033343714
Human,A0A0J9YY99,91.06606837606839,13.900780397281455
Human,A0A0K0K1A3,92.26605263157896,10.581932932773725
Human,A0A0K0K1A5,92.11289473684212,11.600493994599724
Human,A0A0K0K1B3,91.35378378378377,11.03658339661182
Human,A0A0K0K1C0,90.01765217391302,12.698197361312475
Human,A0A0K0K1C4,91.91307017543852,10.6892520316005
Human,A0A0K0K1D8,92.24403508771927,11.37411548281064
Human,A0A0K0K1E9,89.63730434782609,14.406217578093578
Human,A0A0K0K1G6,92.1564912280702,11.057340340598087
Human,A0A0K0K1G8,91.46061403508777,11.95872200860532
Human,A0A0K2S4Q6,72.84771144278608,21.502780330149985
Human,A0A0M3HER8,74.03917910447764,24.63311282522895
Human,A0A0U1RQE8,90.38135761589405,12.136886028199937
Human,A0A0U1RQF7,47.96504065040651,6.631016718567732
Human,A0A0U1RQG5,51.80361111111111,10.266253550340384
Human,A0A0U1RQI7,56.79218631178707,18.60768217953449
Human,A0A0U1RQS6,57.78632768361585,10.358324503224079
Human,A0A0U1RR11,69.9974632352942,23.189613765208136
Human,A0A0U1RR37,63.31752688172041,17.182440940663376
Human,A0A0U1RRA0,72.60063492063492,15.273179924092465
Human,A0A0U1RRE5,69.28147058823528,9.991930901056508
Human,A0A0U1RRI6,70.05418118466906,23.086817345206665
Human,A0A0U1RRK4,64.28296296296298,13.365321715326717
Human,A0A0U1RRL7,69.74436619718308,14.19032111443178
Human,A0A0U1RRN3,68.2822033898305,12.244194482892853
Human,A0A0X1KG70,88.5899361022364,9.761494935843512
Human,A0A126GWB0,85.16783018867929,11.944510752467771
Human,A0A126GWI2,84.02854838709682,11.958203749939956
Human,A0A140G945,74.62774566473989,19.94137204896968
Human,A0A140T8X8,73.55249201277964,16.898310845904817
Human,A0A140TA62,76.26300458715592,24.69906232499371
Human,A0A140TA64,34.52795238095238,5.927920867155383
Human,A0A140TA67,38.61810344827587,6.726061029889946
Human,A0A183,62.285625000000024,9.139181287696125
Human,A0A191URJ7,74.55408333333338,24.344886840378482
Human,A0A1B0GTC6,70.67411111111115,13.918362043992618
Human,A0A1B0GTD5,77.33786259541982,15.774424029002418
Human,A0A1B0GTE1,85.28465447154463,17.090175483339596
Human,A0A1B0GTG8,88.04055555555554,11.62924950870874
Human,A0A1B0GTH6,45.01502724795642,16.47478301550515
Human,A0A1B0GTH9,87.10138888888888,11.858702887841433
Human,A0A1B0GTI1,65.36438502673795,15.867297753265737
Human,A0A1B0GTI8,82.80534759358292,10.10735387820599
Human,A0A1B0GTJ6,53.604101796407186,10.269472737244826
Human,A0A1B0GTK4,64.61270718232046,22.235850497952548
Human,A0A1B0GTK5,63.194430379746805,13.650096558923595
Human,A0A1B0GTL2,71.7613227513227,22.231485914693078
Human,A0A1B0GTQ1,87.51248878923775,9.792780164871344
Human,A0A1B0GTQ4,72.75511904761908,11.249494644104347
Human,A0A1B0GTR0,54.270807453416126,11.922785481326638
Human,A0A1B0GTR3,69.09472222222225,11.263655042784269
Human,A0A1B0GTR4,53.787592592592624,7.855673919079641
Human,A0A1B0GTS1,64.88810810810813,21.389574044429366
Human,A0A1B0GTU1,55.212037267080746,19.17471486127065
Human,A0A1B0GTU2,80.50627118644066,14.200827846279887
Human,A0A1B0GTW7,73.2754568527919,23.679532004640595
Human,A0A1B0GTY4,65.03028248587573,18.9274133369147
Human,A0A1B0GTZ2,67.17478114478115,25.215056856810172
Human,A0A1B0GU29,63.51184210526314,15.824812771032306
Human,A0A1B0GU33,60.414142857142856,6.799944641131205
Human,A0A1B0GU71,85.444693877551,14.270882958545107
Human,A0A1B0GUA5,59.758349514563086,19.278559250899974
Human,A0A1B0GUA6,63.689701492537345,19.130360749302547
Human,A0A1B0GUA7,67.14885542168679,16.185332323584838
Human,A0A1B0GUA9,59.48551886792453,9.142312948676107
Human,A0A1B0GUC4,67.61907407407408,11.06180310941892
Human,A0A1B0GUI7,65.51107142857143,14.603774627672474
Human,A0A1B0GUJ8,78.21647058823527,19.73362133701426
Human,A0A1B0GUL7,76.37353086419758,23.196207355538668
Human,A0A1B0GUQ0,62.149620253164564,13.993860809730869
Human,A0A1B0GUS0,63.40387387387387,19.963012472447218
Human,A0A1B0GUS4,94.03792207792206,4.429914202113173
Human,A0A1B0GUT2,58.810833333333285,13.532263376218086
Human,A0A1B0GUU1,81.843837037037,19.13346445026983
Human,A0A1B0GUV1,59.8393670886076,9.494696766512913
Human,A0A1B0GUV7,52.32566666666665,10.866772346111894
Human,A0A1B0GUV8,83.54668508287291,16.407209709386557
Human,A0A1B0GUW6,39.062709030100365,12.20872973017122
Human,A0A1B0GUW7,78.02527272727272,15.524264275296789
Human,A0A1B0GUX0,78.05778409090911,15.552145868415527
Human,A0A1B0GUY1,41.12392982456136,12.942419524685873
Human,A0A1B0GUZ9,70.46199999999999,19.80172445913627
Human,A0A1B0GV03,72.47508038585214,19.68907932351551
Human,A0A1B0GV22,61.994556962025335,13.380759074555984
Human,A0A1B0GV85,58.23536121673005,26.213308344717305
Human,A0A1B0GV90,79.10181818181816,17.006275535910437
Human,A0A1B0GV96,60.88115384615384,8.432701377067309
Human,A0A1B0GVB3,65.36132812499999,16.461760560039863
Human,A0A1B0GVD1,74.85791366906471,19.441546015545196
Human,A0A1B0GVG4,80.73858974358971,20.739988464689425
Human,A0A1B0GVG6,62.195,11.109855077304548
Human,A0A1B0GVH4,59.76859090909097,16.054753312447804
Human,A0A1B0GVH6,52.11409230769231,16.99755575706567
Human,A0A1B0GVH7,61.069241516966066,23.673109504168654
Human,A0A1B0GVK7,82.56337662337664,14.664203664635018
Human,A0A1B0GVM5,64.15847457627117,7.032517887824671
Human,A0A1B0GVM6,61.750634920634894,12.919383477478545
Human,A0A1B0GVN3,55.58475471698113,15.810975959405317
Human,A0A1B0GVQ0,68.56833333333334,17.868495195610503
Human,A0A1B0GVQ3,63.70541666666664,18.421561766626276
Human,A0A1B0GVR7,78.62957894736843,18.723996026252937
Human,A0A1B0GVS7,54.06100529100527,13.67484143993558
Human,A0A1B0GVT2,64.31043010752687,19.243606334604856
Human,A0A1B0GVV1,68.86988235294118,17.820892662273593
Human,A0A1B0GVX0,65.89402777777777,8.144960210618695
Human,A0A1B0GVY2,37.07662790697674,9.792525579932882
Human,A0A1B0GVY4,66.49014084507041,17.915273717544167
Human,A0A1B0GVZ2,82.44333333333336,15.8267412187992
Human,A0A1B0GVZ6,64.92431372549012,17.331301191763288
Human,A0A1B0GVZ9,80.23448979591836,18.58848055193021
Human,A0A1B0GW15,80.97909090909089,14.340278591528293
Human,A0A1B0GW35,88.9270930232558,13.791398639485667
Human,A0A1B0GW54,76.75964285714288,17.871794913882532
Human,A0A1B0GW64,61.83909090909091,15.254713650786536
Human,A0A1B0GWB2,57.12581749049431,11.395569714699823
Human,A0A1B0GWG4,67.16511111111109,17.575573089720255
Human,A0A1B0GWH4,64.9781381381381,21.518473887694554
Human,A0A1B0GWH6,97.604,1.940301007575887
Human,A0A1B0GWI6,47.961428571428556,12.915408260912866
Human,A0A1B0GWK0,75.25052238805968,13.053960702622716
Human,A0A1B0GX31,90.23017391304352,14.409250288713766
Human,A0A1B0GX49,91.9152631578947,11.373897340851181
Human,A0A1B0GX51,89.6005217391305,14.51033351988241
Human,A0A1B0GX56,90.86130434782608,12.435169446704053
Human,A0A1B0GX68,88.67678260869565,12.191830446999877
Human,A0A1B0GX78,90.08843478260873,12.163491317395488
Human,A0A1B0GX95,82.66852173913043,16.729327138602944
Human,A0A1B0GXF2,88.7195652173913,14.896951330436671
Human,A0A1W2PN81,78.0036454183267,20.65022123632896
Human,A0A1W2PNU3,49.90346289752651,8.195906244852882
Human,A0A1W2PP81,71.52681818181816,24.182080172975084
Human,A0A1W2PP97,72.6590434782609,17.265080715957993
Human,A0A1W2PPD8,66.0648275862069,31.331123471893342
Human,A0A1W2PPE2,72.21176767676769,23.50919638252415
Human,A0A1W2PPE3,47.978681318681296,9.013443830725912
Human,A0A1W2PPF3,57.829797101449294,23.574797282592993
Human,A0A1W2PPG7,86.09144927536231,10.962445812384022
Human,A0A1W2PPH5,71.66005050505053,24.077322003203225
Human,A0A1W2PPK0,51.13797500000004,21.08047371738536
Human,A0A1W2PPL8,70.40969543147204,24.245972587406524
Human,A0A1W2PPM0,49.63715447154471,12.448769196374146
Human,A0A1W2PPM1,50.642864197530855,20.764822156805963
Human,A0A1W2PPW3,72.43553299492383,23.957774155426332
Human,A0A1W2PQ09,71.10050505050508,24.30238321745327
Human,A0A1W2PQ27,94.52479381443295,8.436460708578238
Human,A0A1W2PQ64,94.49484536082474,8.487151916661979
Human,A0A1W2PQ72,68.85750692520773,24.411238939930147
Human,A0A1W2PQ73,57.66898305084748,21.080514018453123
Human,A0A1W2PQC6,94.51314432989695,8.493069030479411
Human,A0A1W2PQD8,94.31737113402062,8.54611497894766
Human,A0A1W2PQF6,94.71560606060608,6.3605982015196805
Human,A0A1W2PQJ5,94.90685567010313,6.191129746328203
Human,A0A1W2PQL4,69.11531250000003,24.115218956480792
Human,A0A1W2PQM1,76.9896283783784,20.420144255512774
Human,A0A1W2PQU2,80.35315789473684,5.2216304195363294
Human,A0A1W2PR19,93.76921161825722,6.866332786464025
Human,A0A1W2PR48,71.53145124716555,28.758537285962966
Human,A0A1W2PR64,71.6990404040404,23.76045874103078
Human,A0A1W2PR75,94.76587628865985,7.104595688863743
Human,A0A1W2PR80,52.58816666666663,13.230001015759
Human,A0A1W2PR82,63.31970037453186,19.845806562406874
Human,A0A1W2PR95,80.1732941176471,18.853125915769187
Human,A0A1W2PRE2,60.89807228915664,7.1424727346948
Human,A0A1W2PRG0,94.52655601659747,5.6263034604085185
Human,A0A1W2PRN1,75.86430379746838,23.253004579702306
Human,A0A1W2PRN6,71.89540404040406,24.394577920256346
Human,A0A1W2PRP0,68.60725321888413,18.77092970252815
Human,A0A1W2PRS3,94.1495979899497,5.405195047982046
Human,A0A1W2PRV1,71.78565656565657,23.42820801148751
Human,A0A1W2PS18,62.65833333333333,24.239778998350808
Human,A0A286YEU6,71.01914012738848,16.366890306506154
Human,A0A286YEV6,41.64028571428571,5.129273309180562
Human,A0A286YEX9,39.576382978723395,2.727823093980015
Human,A0A286YEY9,40.513977272727274,4.867617379584074
Human,A0A286YF01,41.44645833333335,4.809222689090607
Human,A0A286YF18,65.09684563758391,14.151958106139135
Human,A0A286YF46,43.573647058823546,5.401248624064804
Human,A0A286YF58,61.45012987012982,11.67545849857576
Human,A0A286YF60,41.013200000000005,4.401510849696954
Human,A0A286YF77,40.65142857142858,4.385803814814431
Human,A0A286YFB4,39.62958333333334,5.923528564945241
Human,A0A286YFG1,38.02435185185185,4.519416807908702
Human,A0A286YFK9,77.0737254901961,17.343145333021095
Human,A0A2R8Y2Y2,56.70223958333338,14.942558895263996
Human,A0A2R8Y422,88.92141025641027,8.838591621821358
Human,A0A2R8Y4L2,69.37919999999995,25.77220924837097
Human,A0A2R8Y4L6,87.91092879256976,14.973066502876874
Human,A0A2R8Y4M2,87.68931818181817,11.330903518039676
Human,A0A2R8Y4M4,63.35810945273632,18.143738703400516
Human,A0A2R8Y4Y8,72.52406250000008,24.532019339448876
Human,A0A2R8Y556,78.34192307692308,8.77042846915385
Human,A0A2R8Y5M8,95.57151162790701,4.846104209522811
Human,A0A2R8Y619,84.45016393442624,20.192441532788767
Human,A0A2R8Y747,50.20953020134229,10.523271579966574
Human,A0A2R8Y7D0,77.09591666666671,14.767470416190294
Human,A0A2R8Y7Y5,55.4909829059829,13.813997959757573
Human,A0A2R8YCJ5,74.47645161290322,15.282412383820953
Human,A0A2R8YCY7,94.30804020100504,5.6259588286888915
Human,A0A2R8YD15,83.61470588235294,7.202905147268957
Human,A0A2R8YE69,68.37674388674387,27.078532713719387
Human,A0A2R8YED5,88.95276527331187,10.38504626481728
Human,A0A2R8YEG4,86.56882736156355,11.11054700052962
Human,A0A2R8YEH3,86.13084690553742,11.388861548062076
Human,A0A2R8YEV3,86.53342019543972,11.290401346691098
Human,A0A2R8YFL7,70.91777173913042,23.43382920081808
Human,A0A2R8YFM6,66.99803108808293,25.97980435771899
Human,A0A2R8YFR7,46.348258238063174,25.85504076080711
Human,A0A2U3TZM8,52.24147482014389,14.17889571850109
Human,A0A2Z4LIS9,58.851206896551716,16.895996962919558
